Same augmentations as res2[0,    10] loss: 6.858
[0,    20] loss: 4.407
[0,    30] loss: 2.750
[0,    40] loss: 1.868
[0,    50] loss: 1.453
[0,    60] loss: 1.188
[0,    70] loss: 1.257
[0,    80] loss: 1.157
[0,    90] loss: 1.044
[0,   100] loss: 0.876
[1,    10] loss: 0.897
[1,    20] loss: 0.856
[1,    30] loss: 0.765
[1,    40] loss: 0.773
[1,    50] loss: 0.673
[1,    60] loss: 0.619
[1,    70] loss: 0.588
[1,    80] loss: 0.651
[1,    90] loss: 0.633
[1,   100] loss: 0.549
[2,    10] loss: 0.690
[2,    20] loss: 0.606
[2,    30] loss: 0.461
[2,    40] loss: 0.440
[2,    50] loss: 0.421
[2,    60] loss: 0.352
[2,    70] loss: 0.405
[2,    80] loss: 0.401
[2,    90] loss: 0.333
[2,   100] loss: 0.381
[3,    10] loss: 0.290
[3,    20] loss: 0.261
[3,    30] loss: 0.230
[3,    40] loss: 0.214
[3,    50] loss: 0.216
[3,    60] loss: 0.219
[3,    70] loss: 0.274
[3,    80] loss: 0.248
[3,    90] loss: 0.239
[3,   100] loss: 0.229
[4,    10] loss: 0.433
[4,    20] loss: 0.425
[4,    30] loss: 0.350
[4,    40] loss: 0.325
[4,    50] loss: 0.304
[4,    60] loss: 0.342
[4,    70] loss: 0.302
[4,    80] loss: 0.292
[4,    90] loss: 0.276
[4,   100] loss: 0.286
Learning rate: 0.010000
[5,    10] loss: 0.185
[5,    20] loss: 0.166
[5,    30] loss: 0.137
[5,    40] loss: 0.111
[5,    50] loss: 0.112
[5,    60] loss: 0.092
[5,    70] loss: 0.076
[5,    80] loss: 0.087
[5,    90] loss: 0.077
[5,   100] loss: 0.091
[6,    10] loss: 0.052
[6,    20] loss: 0.063
[6,    30] loss: 0.054
[6,    40] loss: 0.064
[6,    50] loss: 0.060
[6,    60] loss: 0.045
[6,    70] loss: 0.059
[6,    80] loss: 0.050
[6,    90] loss: 0.054
[6,   100] loss: 0.055
[7,    10] loss: 0.037
[7,    20] loss: 0.033
[7,    30] loss: 0.036
[7,    40] loss: 0.041
[7,    50] loss: 0.053
[7,    60] loss: 0.045
[7,    70] loss: 0.028
[7,    80] loss: 0.042
[7,    90] loss: 0.036
[7,   100] loss: 0.039
[8,    10] loss: 0.024
[8,    20] loss: 0.026
[8,    30] loss: 0.033
[8,    40] loss: 0.030
[8,    50] loss: 0.033
[8,    60] loss: 0.038
[8,    70] loss: 0.028
[8,    80] loss: 0.030
[8,    90] loss: 0.030
[8,   100] loss: 0.029
[9,    10] loss: 0.029
[9,    20] loss: 0.022
[9,    30] loss: 0.024
[9,    40] loss: 0.027
[9,    50] loss: 0.029
